WP	WO	TC	sequence	scope	est-min
OH-LZK/H-21 C04		ZL-451-01-2 A	1	MECH-ENG	0.833333
OH-LZK/H-21 C04	5564831		1	AVIO	7.700000
OH-LZK/H-21 C04	5564831		2	AVIO	9.400000
OH-LZK/H-21 C04	5564832		1	MECH-ENG	21.600000
OH-LZK/H-21 C04	5564832		2	MECH-ENG	26.400000
OH-LZK/H-21 C04	5564833		1	MECH-EXT	24.216666
OH-LZK/H-21 C04	5564833		2	MECH-EXT	29.583333
OH-LZK/H-21 C04	5564834		1	MECH-INT	63.183333
OH-LZK/H-21 C04	5564834		2	MECH-INT	77.216666
OH-LZK/H-21 C04	5564835		1	MECH-LDG	8.916666
OH-LZK/H-21 C04	5564835		2	MECH-LDG	10.883333
OH-LZK/H-21 C04	5564838		1	ADM	0.016666
OH-LZK/H-21 C04	5564838		2	ADM	0.016666
OH-LZK/H-21 C04	5564853		1	RUNH	0.500000
OH-LZK/H-21 C04	5564853		2	RUNH	0.500000
OH-LZK/H-21 C04	5564853		2	MECH	0.500000
OH-LZK/H-21 C04	5564853		3	RUNH	0.083333
OH-LZK/H-21 C04	5564956		1	WASH	0.000000
OH-LZK/H-21 C04	5564958		1	WASH	180.000000
OH-LZK/H-21 C04	5564960		1	WASH	50.000000
OH-LZK/H-21 C04	5570455		1	MECH-ENG	5.000000
OH-LZK/H-21 C04	5570454		1	MECH-EXT	1.500000
OH-LZK/H-21 C04	5570458		1	MECH-EXT	15.000000
OH-LZK/H-21 C04	5570457		1	MECH-EXT	1.500000
OH-LZK/H-21 C04	5570457		2	MECH-EXT	1.500000
OH-LZK/H-21 C04	5570453		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570453		1	SHM	4.000000
OH-LZK/H-21 C04	5570461		1	MECH-EXT	4.000000
OH-LZK/H-21 C04	5570462		1	MECH-EXT	15.000000
OH-LZK/H-21 C04	5570464		1	MECH-EXT	15.000000
OH-LZK/H-21 C04	5570465		1	MECH-ENG	3.000000
OH-LZK/H-21 C04	5570503		1	MECH-EXT	15.000000
OH-LZK/H-21 C04	5570503		2	MECH-EXT	1.500000
OH-LZK/H-21 C04	5570506		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570506		1	SHM	4.000000
OH-LZK/H-21 C04	5570526		1	MECH-ENG	3.000000
OH-LZK/H-21 C04	5570527		1	MECH-EXT	3.000000
OH-LZK/H-21 C04	5570523		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570523		1	SHM	4.000000
OH-LZK/H-21 C04	5570539		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570539		1	SHM	4.000000
OH-LZK/H-21 C04	5570551		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570551		1	SHM	3.000000
OH-LZK/H-21 C04	5570561		1	AVIO	6.000000
OH-LZK/H-21 C04	5570561		2	MECH-ENG	3.000000
OH-LZK/H-21 C04	5570580		1	MECH-INT	1.000000
OH-LZK/H-21 C04	5567073		1	SHM	5.000000
OH-LZK/H-21 C04	5567080		1	SHM	1.500000
OH-LZK/H-21 C04	5567080		2	SHM	2.000000
OH-LZK/H-21 C04	5567080		3	SHM	1.500000
OH-LZK/H-21 C04	5567100		1	SHM	4.000000
OH-LZK/H-21 C04	5567101		1	AVIO	0.750000
OH-LZK/H-21 C04	5567104		1	PAINT	2.000000
OH-LZK/H-21 C04	5567110		1	SHM	1.000000
OH-LZK/H-21 C04	5567110		1	PAINT	2.000000
OH-LZK/H-21 C04	5567113		1	SHM	5.000000
OH-LZK/H-21 C04	5567136		1	MECH-INT	4.000000
OH-LZK/H-21 C04	5567141		1	SEAT	0.333333
OH-LZK/H-21 C04	5567142		1	SEAT	6.000000
OH-LZK/H-21 C04	5567143		1	SEAT	120.000000
OH-LZK/H-21 C04	5567144		1	MECH-EXT	11.000000
OH-LZK/H-21 C04	5567146		1	MECH-EXT	11.000000
OH-LZK/H-21 C04	5567160		1	PAINT	2.000000
OH-LZK/H-21 C04	5567162		1	MECH-ENG	0.500000
OH-LZK/H-21 C04	5567164		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5567164		3	MECH-ENG	1.000000
OH-LZK/H-21 C04	5567168		1	AVIO	12.000000
OH-LZK/H-21 C04	5567171		1	MECH-EXT	11.000000
OH-LZK/H-21 C04	5567177		1	MECH-LDG	2.000000
OH-LZK/H-21 C04	5567178		1	MECH-INT	5.000000
OH-LZK/H-21 C04	5567182		1	MECH-EXT	10.000000
OH-LZK/H-21 C04	5567185		1	SHM	8.000000
OH-LZK/H-21 C04	5567188		1	MECH-INT	0.500000
OH-LZK/H-21 C04	5567187		1	SHM	8.000000
OH-LZK/H-21 C04	5567192		1	SHM	8.000000
OH-LZK/H-21 C04	5567191		1	MECH-INT	2.000000
OH-LZK/H-21 C04	5567220		1	MECH-INT	2.500000
OH-LZK/H-21 C04	5567233		1	MECH-INT	1.000000
OH-LZK/H-21 C04	5567243		1	MECH-INT	0.500000
OH-LZK/H-21 C04	5567248		1	MECH-INT	2.000000
OH-LZK/H-21 C04	5567282		1	MECH-INT	3.000000
OH-LZK/H-21 C04	5567299		1	MECH-EXT	5.000000
OH-LZK/H-21 C04	5567304		1	MECH-EXT	4.000000
OH-LZK/H-21 C04	5567376		1	MECH-INT	4.000000
OH-LZK/H-21 C04	5567376		2	MECH-INT	1.333333
OH-LZK/H-21 C04	5567380		1	MECH-EXT	3.000000
OH-LZK/H-21 C04	5567382		1	MECH-EXT	1.500000
OH-LZK/H-21 C04	5567385		1	PAINT	4.500000
OH-LZK/H-21 C04	5567403		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5567403		2	MECH-ENG	2.000000
OH-LZK/H-21 C04		272100-11-1	1	MECH-EXT	2.816666
OH-LZK/H-21 C04		272100-10-1	1	MECH-EXT	5.066666
OH-LZK/H-21 C04		272100-02-1	1	MECH-EXT	3.750000
OH-LZK/H-21 C04		274100-01-1	1	MECH-EXT	3.283333
OH-LZK/H-21 C04		290000-07-1	1	MECH-LDG	2.000000
OH-LZK/H-21 C04		292000-07-1	1	MECH-LDG	0.900000
OH-LZK/H-21 C04		525111-08-1	1	MECH-INT	0.583333
OH-LZK/H-21 C04		545000-02-1	1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5567421		1	MECH-ENG	10.000000
OH-LZK/H-21 C04	5567421		1	SHM	25.000000
OH-LZK/H-21 C04	5567423		1	SHM	25.000000
OH-LZK/H-21 C04	5567423		1	MECH-ENG	10.000000
OH-LZK/H-21 C04	5567432		1	SHM	1.500000
OH-LZK/H-21 C04	5567433		1	SHM	1.500000
OH-LZK/H-21 C04	5567434		1	SHM	2.000000
OH-LZK/H-21 C04	5567763		1	SHM	2.000000
OH-LZK/H-21 C04	5569841		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5569841		2	MECH-ENG	1.000000
OH-LZK/H-21 C04	5569841		3	MECH-ENG	1.000000
OH-LZK/H-21 C04	5569844		1	CHEM	1.500000
OH-LZK/H-21 C04	5569849		1	MECH-ENG	6.000000
OH-LZK/H-21 C04	5569852		1	MECH-ENG	12.000000
OH-LZK/H-21 C04	5569852		3	MECH-ENG	4.000000
OH-LZK/H-21 C04	5569860		1	SHM	10.000000
OH-LZK/H-21 C04	5569860		2	MECH-INT	1.500000
OH-LZK/H-21 C04	5569861		1	SHM	6.000000
OH-LZK/H-21 C04	5569862		1	SHM	6.000000
OH-LZK/H-21 C04	5569863		1	SHM	6.000000
OH-LZK/H-21 C04	5569866		1	SHM	2.000000
OH-LZK/H-21 C04	5569869		1	MECH-INT	1.000000
OH-LZK/H-21 C04	5570700		1	MECH-ENG	3.000000
OH-LZK/H-21 C04	5570705		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570705		2	MECH-ENG	4.000000
OH-LZK/H-21 C04	5570727		1	UPH	0.500000
OH-LZK/H-21 C04	5570769		1	MECH-LDG	2.000000
OH-LZK/H-21 C04	5570769		2	MECH-LDG	2.000000
OH-LZK/H-21 C04	5570769		3	MECH-LDG	2.000000
OH-LZK/H-21 C04	5570782		1	MECH-LDG	1.000000
OH-LZK/H-21 C04	5570789		1	MECH-LDG	1.000000
OH-LZK/H-21 C04	5570807		1	MECH	4.000000
OH-LZK/H-21 C04	5570807		2	MECH	0.500000
OH-LZK/H-21 C04	5570808		1	MECH-ENG	2.000000
OH-LZK/H-21 C04	5570812		1	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570812		2	MECH-ENG	1.000000
OH-LZK/H-21 C04	5570892		1	MECH-EXT	3.000000
OH-LZK/H-21 C04	5570892		1	MECH-EXT	2.000000
OH-LZK/H-21 C04	5569889		1	MECH-INT	0.666666
OH-LZK/H-21 C04	5569889		2	MECH-INT	0.166666
OH-LZK/H-21 C04	5569889		3	MECH-INT	1.333333
OH-LZK/H-21 C04	5569889		4	MECH-INT	0.500000
OH-LZK/H-21 C04	5569921		1	MECH-EXT	2.000000
OH-LZK/H-21 C04	5569960		1	MECH	3.000000
OH-LZK/H-21 C04	5569960		1	ENG	3.000000
OH-LZK/H-21 C04	5569972		1	SHM	6.000000
