termId;label
acceleration;Acceleration
accessories;Accessories
accessory;Accessory
actuator;Actuator
adjustment;Adjustment
aft;Aft
agent;Agent
aids;Aids
aileron;Aileron
airfoil;Airfoil
alternate;Alternate
alternating current;Alternating current
altimeter;Altimeter
altimetry;Altimetry
altimetry system;Altimetry system
altitude;Altitude
angle of attack;Angle of attack
annunciator;Annunciator
applicable;Applicable
arm;Arm
armcaps;Armcaps
arrows;Arrows
assembly;Assembly
assembly/disassembly;Assembly/disassembly
assess;Assess
assign;Assign
attendant;Attendant
aupholster;Aupholster
auxiliary;Auxiliary
avionic bay;Avionic bay
axle;Axle
backrest;Backrest
backup;Backup
beam;Beam
bearing;Bearing
belly;Belly
blade;Blade
bleed;Bleed
blind rivet;Blind rivet
bolt;Bolt
bond;Bond
bonded;Bonded
bonding;Bonding
bonding leads;Bonding leads
boom;Boom
booster;Booster
booster pump;Booster pump
borescope;Borescope
bracket;Bracket
bucket;Bucket
buckle;Buckle
buckle (to);Buckle (to)
buckle mapping;Buckle mapping
buckling;Buckling
bulbs;Bulbs
bulkhead;Bulkhead
bumper;Bumper
bundle;Bundle
burst;Burst
bushing;Bushing
cable ties;Cable ties
cargo compartment;Cargo compartment
cavities;Cavities
circuit;Circuit
clamp;Clamp
coat;Coat
cocpit voice recorder;Cocpit voice recorder
combustion;Combustion
combustion gases;Combustion gases
combustion chamber;Combustion chamber
compartment;Compartment
compound;Compound
conditioning ducting;Conditioning ducting
conducted;Conducted
conduction;Conduction
conductor;Conductor
consumption;Consumption
counters;Counters
couple;Couple
couplings;Couplings
cover;Cover
covering material;Covering material
cowlings;Cowlings
crack;Crack
crank;Crank
cushion;Cushion
cushions;Cushions
customized;Customized
cutout;Cutout
cylinder;Cylinder
dashboard;Dashboard
decrease;Decrease
dedicated;Dedicated
default;Default
deferred;Deferred
deflection;Deflection
defuel;Defuel
delamination;Delamination
dent;Dent
depressurize;Depressurize
descent;Descent
deteriorated;Deteriorated
devaluation;Devaluation
deviation;Deviation
dimming;Dimming
direct current;Direct current
discard;Discard
discrepancies;Discrepancies
disembark;Disembark
discharging;Discharging
disordered;Disordered
dorsal;Dorsal
dorsal fin keel;Dorsal fin keel
drain;Drain
drain tank;Drain tank
drainage;Drainage
drill;Drill
duct/ducting;Duct/ducting
due date;Due date
dust layers;Dust layers
electrical bonding;Electrical bonding
electroplater;Electroplater
elevator;Elevator
eligible;Eligible
empennage;Empennage
energize;Energize
engine harness;Engine harness
equalize;Equalize
excessive;Excessive
exhaust;Exhaust
extended;Extended
extension;Extension
extinguisher;Extinguisher
fairing;Fairing
fan blades;Fan blades
fan cowl;Fan cowl
fan cowl;Fan cowl
fan cowling;Fan cowling
fan shroud;Fan shroud
fan shroud;Fan shroud
fastener;Fastener
faults;Faults
faulty;Faulty
fillet;Fillet
fitting;Fitting
fitting;Fitting
fitting tool;Fitting tool
flake;Flake
flame arrester;Flame arrester
flammable;Flammable
flange;Flange
flap;Flap
flap track;Flap track
flooring;Flooring
folder;Folder
foreman;Foreman
fortified;Fortified
forward;Forward
fowler flap;Fowler flap
frame;Frame
fuel dump;Fuel dump
fuse;Fuse
fuselage;Fuselage
fuzz;Fuzz
galley;Galley
gasket;Gasket
gear;Gear
gear bay;Gear bay
general condition;General condition
goodrich;Goodrich
grease;Grease
grid;Grid
grill assy;Grill assy
grounding;Grounding
handrail;Handrail
harness;Harness
harness assembly;Harness assembly
harness wiring;Harness wiring
hatch;Hatch
heading;Heading
hinge;Hinge
hinge;Hinge
hinged joint;Hinged joint
hitch;Hitch
honing;Honing
horizontal stabilizer;Horizontal stabilizer
hot sections;Hot sections
housing;Housing
humidity;Humidity
chafed;Chafed
chafing;Chafing
chock;Chock
chunk;Chunk
igniter;Igniter
ignition;Ignition
ignition leads;Ignition leads
incorporated;Incorporated
indicating;Indicating
inflating;Inflating
inflict+A549;Inflict+A549
inlet;Inlet
inlet cowl;Inlet cowl
input;Input
insufficient;Insufficient
insulation;Insulation
intake;Intake
integrating;Integrating
interchangeability;Interchangeability
interim;Interim
inverter;Inverter
invoice;Invoice
jack;Jack
jacking;Jacking
jacking point;Jacking point
joiner;Joiner
joint;Joint
junction box;Junction box
kick panel;Kick panel
kickstrip;Kickstrip
kit;Kit
Kruegel flap;Kruegel flap
landing gear;Landing gear
lateral;Lateral
latch;Latch
lavatories;Lavatories
layer;Layer
layout;Layout
layout table;Layout table
leading edge;Leading edge
leak;Leak
leak check;Leak check
leakage;Leakage
lens;Lens
lever;Lever
life vest pouch;Life vest pouch
lifting;Lifting
locknut;Locknut
log book;Log book
loose;Loose
lubrication;Lubrication
machining chips;Machining chips
main engine control;Main engine control
mandatory;Mandatory
marker;Marker
marking;Marking
mast;Mast
miscellaneous;Miscellaneous
moisture;Moisture
mount;Mount
mounting;Mounting
mutation;Mutation
nacelle;Nacelle
nose landing gear;Nose landing gear
nozzle;Nozzle
nut;Nut
nut plate;Nut plate
obstruction;Obstruction
oil scavenge filter;Oil scavenge filter
on stock;On stock
outflow valve;Outflow valve
overhaul;Overhaul
overhead;Overhead
override;Override
painter;Painter
painting system;Painting system
pane;Pane
particles;Particles
partition;Partition
passenger compartment;Passenger compartment
patch;Patch
pax cabin;Pax cabin
pax/crew door;Pax/crew door
phase out;Phase out
pickslip;Pickslip
pin;Pin
piston;Piston
pitot probe;Pitot probe
placard;Placard
placards;Placards
plug;Plug
portable;Portable
pouch;Pouch
power plant;Power plant
precaution;Precaution
pressurization;Pressurization
pressurize;Pressurize
probe;Probe
propeller;Propeller
props;Props
propulsion;Propulsion
prove;Prove
proximity;Proximity
puncture;Puncture
purchase price;Purchase price
pylon;Pylon
quotation;Quotation
race;Race
raceway;Raceway
rack;Rack
radome;Radome
rag;Rag
ram;Ram
ram air;Ram air
ram air inlet/intake;Ram air inlet/intake
rap;Rap
rear;Rear
receptacle;Receptacle
recirculation fan;Recirculation fan
rectification;Rectification
refuel;Refuel
refurbishment;Refurbishment
reheater;Reheater
remote;Remote
removal;Removal
